# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Jackson Pond
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     2.0     0.0     2.0     2.0     0.0     3.0     0.0     1.0
     0.0    25.0     4.0 16180.0     1.0
190, , 5414
     0.0     0.0     0.0     2.0     0.0     4.0     0.0     2.0     0.0     0.0
     1.0    13.0    12.0     1.0    73.0     0.0     0.0     0.0     0.0     0.0
    31.0     4.0     4.0     0.0     4.0     0.0     0.0     0.0     0.0     8.0
     0.0     0.0     2.0     6.0     2.0     1.0     0.0     0.0     1.0     0.0
   149.0    62.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     3.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     8.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     6.0     0.0     0.0     0.0     0.0     0.0    12.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     2.0     1.0     0.0     0.0     0.0
     0.0    18.0     4.0 16180.0     1.0
195, , 6172
     0.0     1.0     0.0     4.0     0.0     2.0     0.0     1.0     0.0     0.0
     0.0    16.0     2.0     0.0    55.0     0.0     0.0     0.0     0.0     1.0
    13.0     3.0     0.0     0.0     3.0     0.0     1.0     0.0     0.0    11.0
     0.0     0.0     1.0     8.0     4.0     2.0     0.0     0.0     5.0     0.0
   185.0    45.0     0.0     0.0     0.0     0.0     3.0     0.0     1.0     5.0
     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0    20.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     7.0     0.0     2.0     0.0     0.0     0.0     9.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     1.0     0.0     0.0     3.0     0.0     5.0     0.0     2.0
     2.0    36.0     4.0 16180.0     1.0
200, , 6931
     0.0     0.0     0.0     4.0     0.0     1.0     0.0    33.0     0.0     0.0
     0.0    12.0     4.0     0.0    40.0     0.0     0.0     1.0     0.0     0.0
    19.0     2.0     1.0     0.0     5.0     1.0     0.0     2.0     0.0     3.0
     0.0     0.0     0.0    17.0    18.0    11.0     0.0     0.0     3.0     0.0
   144.0    55.0     0.0     0.0     2.0     1.0     8.0     0.0     0.0     7.0
     0.0     0.0     0.0     6.0     0.0     0.0     0.0     0.0    24.0     0.0
     0.0     1.0     2.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     9.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     1.0
