     0.0     0.0     1.0     0.0     7.0     0.0    14.0    59.0     0.0     2.0
     0.0     0.0     1.0     0.0     0.0     1.0     0.0    53.0     7.0     2.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0     4.0
     0.0     1.0     1.0    12.0    11.0     2.0   130.0     0.0     0.0     1.0
     0.0     0.0     1.0     0.0    83.0     7.0     0.0     1.0     0.0     2.0
     0.0     0.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     4.0
     0.0     5.0     0.0     0.0     0.0     1.0     3.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     2.0     1.0     3.0     3.0     4.0
   239.0
750, , 7071
     0.0     0.0     4.0     0.0     4.0     0.0    13.0    30.0     0.0     4.0
     2.0     0.0     0.0     0.0     2.0     3.0     0.0    54.0     5.0     3.0
     0.0     1.0     0.0     0.0     1.0     0.0     1.0     3.0     0.0    15.0
     1.0     0.0     9.0    35.0     1.0     1.0   139.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0    69.0    12.0     0.0     2.0     0.0     1.0
     4.0     0.0     0.0     0.0     0.0     7.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     2.0     1.0     0.0     0.0     0.0
     0.0     0.0     3.0     0.0     0.0     0.0     0.0     1.0     1.0     1.0
     0.0     4.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     7.0     1.0     1.0
   285.0
790, , 7375
     1.0     0.0     1.0     0.0     5.0     0.0    24.0    27.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     0.0     0.0    37.0     5.0     3.0
     0.0     0.0     0.0     0.0     1.0     0.0     0.0     2.0     0.0    11.0
     1.0    13.0    22.0    31.0     2.0     5.0   215.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0    52.0     7.0     0.0     2.0     0.0     0.0
     2.0     0.0     1.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     3.0    18.0     4.0     1.0
   277.0
810, , 7531
     0.0     0.0     2.0     0.0     8.0     5.0    30.0    45.0     0.0     1.0
     1.0     0.0     1.0     0.0     2.0     2.0     0.0    55.0     3.0    13.0
     0.0     2.0     0.0     0.0     6.0     0.0     0.0     0.0     0.0    19.0
     1.0     3.0    13.0    67.0     7.0     5.0   308.0     0.0     0.0     0.0
