# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Lac à Magie
     1.0     0.0     0.0     0.0    15.0     4.0     3.0    47.0     0.0     0.0
     0.0     0.0     1.0     0.0    14.0     0.0     0.0     1.0     0.0     0.0
     0.0    57.0     0.0     4.0    10.0    15.0     0.0    13.0    48.0     0.0
     0.0     0.0     0.0     6.0     0.0     9.0     0.0     2.0     0.0     0.0
     1.0     0.0     3.0    18.0     0.0     0.0     0.0     0.0    23.0     0.0
     1.0     0.0     0.0     0.0     0.0    26.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0   117.0
     0.0     0.0     0.0     8.0     8.0    30.0     5.0     4.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
   290.0     0.0     0.0     0.0     0.0     2.0     0.0    16.0     1.0   353.0
     3.0
850, , 10319
     0.0     0.0     0.0     0.0     8.0     1.0     6.0    41.0     0.0     0.0
     0.0     1.0     0.0     0.0    11.0     1.0     0.0     0.0     0.0     0.0
     0.0    70.0     0.0     1.0     8.0     8.0     0.0    21.0     9.0     0.0
     0.0     0.0     0.0     4.0     0.0    12.0     1.0     0.0     0.0     0.0
     0.0     4.0     0.0    25.0     0.0     0.0     0.0     0.0    24.0     0.0
     0.0     0.0     1.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0   108.0
     0.0     1.0     0.0     3.0     0.0    25.0     2.0     2.0     0.0     0.0
     0.0     0.0     1.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
   223.0     0.0     0.0     0.0     0.0     0.0     0.0    21.0     4.0   339.0
     3.0
852, , 10372
     0.0     0.0     0.0     0.0    11.0     3.0     5.0    58.0     0.0     1.0
     0.0     0.0     4.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0
     0.0    73.0     0.0     5.0     6.0    20.0     0.0    21.0    29.0     0.0
     0.0     0.0     0.0     0.0     0.0     6.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0    10.0     0.0     0.0     0.0     1.0    28.0     0.0
     0.0     0.0     0.0     0.0     2.0    20.0     0.0     0.0     1.0     0.0
     0.0     1.0     0.0     0.0     1.0     0.0     2.0     0.0     0.0    81.0
     0.0     0.0     1.0     5.0     1.0    25.0     2.0     1.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     6.0     0.0     0.0     0.0     0.0
   372.0     0.0     0.0     0.0     0.0     0.0     0.0    22.0     0.0   326.0
     3.0
854, , 10426
     0.0     0.0     0.0     0.0     8.0     2.0     1.0    58.0     0.0     0.0
     0.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0     0.0     0.0
     0.0    76.0     0.0     7.0     3.0    11.0     0.0    22.0    16.0     0.0
     0.0     0.0     0.0     3.0     0.0    10.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    18.0     0.0     0.0     0.0     0.0    26.0     0.0
     0.0     0.0     0.0     0.0     0.0    16.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    72.0
     0.0     0.0     0.0     4.0     0.0    17.0     5.0     5.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0     5.0     0.0     0.0     0.0     0.0
   341.0     0.0     0.0     0.0     0.0     2.0     0.0    13.0     1.0   222.0
     3.0
856, , 10480
     1.0     0.0     0.0     0.0     6.0     2.0     2.0    51.0     0.0     0.0
     0.0     1.0     3.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0
     0.0    68.0     0.0     3.0     2.0     3.0     0.0    19.0    17.0     0.0
     0.0     0.0     0.0     3.0     0.0     2.0     0.0     0.0     0.0     0.0
     2.0     1.0     4.0    22.0     0.0     0.0     0.0     0.0    17.0     0.0
     0.0     0.0     0.0     0.0     0.0    19.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    96.0
     0.0     0.0     0.0     5.0     0.0    27.0     7.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0     4.0     0.0     0.0     0.0     0.0
   349.0     0.0     0.0     0.0     0.0     0.0     0.0    37.0     0.0   192.0
     3.0
857, , 10529
     1.0     0.0     0.0     0.0     7.0     4.0     5.0    39.0     0.0     0.0
     0.0     1.0     1.0     0.0     5.0     0.0     0.0     0.0     0.0     0.0
     1.0    63.0     0.0     3.0    14.0    17.0     0.0    33.0    14.0     0.0
     0.0     0.0     0.0     3.0     0.0     7.0     0.0     2.0     0.0     0.0
     1.0     2.0     5.0    13.0     0.0     0.0     0.0     0.0    19.0     0.0
     0.0     0.0     1.0     0.0     1.0    24.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0   104.0
     0.0     0.0     1.0     9.0     1.0    21.0     3.0     4.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0
   382.0     0.0     0.0     0.0     0.0     0.0     0.0    31.0     2.0   179.0
     3.0
858, , 10578
     0.0     0.0     0.0     0.0    11.0     3.0     4.0    40.0     0.0     0.0
     0.0     0.0     2.0     0.0     2.0     0.0     1.0     0.0     0.0     0.0
     0.0    77.0     0.0     1.0    20.0     9.0     0.0    41.0     8.0     0.0
     0.0     0.0     0.0     7.0     0.0     5.0     0.0     0.0     0.0     0.0
     1.0     3.0     2.0    18.0     0.0     0.0     0.0     0.0    18.0     0.0
     0.0     0.0     0.0     0.0     0.0    32.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0     1.0     0.0     0.0    69.0
     0.0     0.0     0.0     6.0     0.0    25.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0     2.0     0.0     0.0     0.0     0.0
   305.0     0.0     0.0     0.0     0.0     0.0     0.0    17.0    11.0   181.0
     3.0
859, , 10626
     0.0     0.0     0.0     0.0     5.0     7.0     4.0    31.0     0.0     0.0
     0.0     0.0     7.0     0.0     5.0     0.0     0.0     0.0     0.0     0.0
     1.0    77.0     0.0     4.0     7.0    17.0     0.0    49.0     4.0     0.0
     0.0     0.0     0.0     8.0     0.0     5.0     1.0     0.0     1.0     0.0
