     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     1.0     6.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     4.0     0.0     1.0     3.0     2.0     0.0     0.0     2.0
    92.0
420, , 6613
     0.0     1.0     0.0     0.0     0.0     0.0   149.0     0.0    19.0     0.0
     0.0    13.0     0.0     0.0     0.0     1.0     0.0    17.0     2.0     1.0
     7.0     0.0     0.0     0.0     0.0     1.0     2.0     0.0     2.0     1.0
     0.0    10.0    23.0     2.0     0.0    45.0     0.0     3.0     0.0     1.0
     0.0     0.0     1.0     0.0    21.0     1.0     1.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     7.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0     3.0     0.0
     0.0     0.0     0.0     0.0     1.0     2.0     1.0     0.0     0.0     0.0
     0.0     0.0     4.0     0.0     0.0     2.0     0.0     0.0     0.0     7.0
   511.0
440, , 6744
     0.0     1.0     0.0     0.0     0.0     0.0    44.0     0.0     3.0     0.0
     0.0     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0
     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     1.0     5.0     1.0     0.0    10.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     3.0     2.0     2.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     1.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     4.0
   130.0
460, , 6874
     0.0     2.0     0.0     0.0     0.0     0.0    83.0     0.0     3.0     0.0
     0.0     5.0     0.0     0.0     0.0     0.0     0.0     6.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     2.0     7.0     1.0     0.0    19.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     4.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0
     0.0     0.0     5.0     0.0     0.0     1.0     1.0     0.0     0.0     6.0
   177.0
480, , 6966
     0.0     0.0     0.0     0.0     0.0     0.0    53.0     0.0    11.0     0.0
     0.0    14.0     0.0     0.0     0.0     0.0     1.0     2.0     0.0     0.0
     8.0     0.0     0.0     1.0     0.0     0.0     1.0     1.0     0.0     1.0
     0.0     0.0    15.0     1.0     0.0    22.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    13.0     1.0     2.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     3.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     4.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     3.0     0.0     0.0     0.0     4.0     0.0     0.0    10.0
   308.0
520, , 7110
     1.0     4.0     0.0     6.0     0.0     0.0   102.0     0.0    40.0     3.0
     0.0    33.0     1.0     0.0     0.0     2.0     1.0    34.0     5.0     5.0
     4.0     0.0     0.0     0.0     1.0     0.0     3.0     0.0     1.0     0.0
     1.0     6.0    33.0     1.0     0.0    83.0     0.0     6.0     0.0     1.0
     0.0     0.0     0.0     0.0    31.0     2.0     2.0     0.0     2.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
     9.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     4.0     7.0     6.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     2.0     0.0     0.0     1.0
     0.0     1.0     8.0     0.0     0.0     4.0    12.0     1.0     0.0    11.0
