# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Burden Lake
     5.0     0.0     0.0     0.0     0.0     0.0     0.0     9.0     0.0     1.0
     3.0    24.0     6.0     6.0   120.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0    27.0     7.0     0.0     0.0     1.0     2.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     2.0     2.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     4.0     2.0     1.0     3.0     1.0   203.0
580, , 4812
     0.0     0.0     5.0     0.0    29.0     0.0    16.0    73.0    24.0     1.0
     0.0     0.0     0.0     2.0     0.0   101.0     9.0    10.0     0.0     3.0
     3.0     0.0     0.0     0.0     0.0     0.0     3.0    14.0     2.0     1.0
     3.0    28.0     3.0     1.0   165.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0   153.0    17.0     0.0     2.0     1.0     0.0
     0.0     0.0     2.0     5.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     0.0     1.0     2.0     0.0     0.0     0.0
     0.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     3.0     2.0
     0.0     0.0     1.0     0.0     4.0     1.0     0.0     0.0   284.0
605, , 5042
     0.0     0.0     2.0     0.0    20.0     1.0    12.0    53.0    22.0     0.0
     0.0     1.0     0.0     1.0     0.0    82.0     3.0     4.0     3.0     1.0
     4.0     0.0     0.0     0.0     3.0     1.0     1.0    14.0     1.0     0.0
     1.0    20.0     4.0     0.0   216.0     0.0     0.0     2.0     0.0     0.0
     0.0     0.0     0.0     3.0    81.0    15.0     0.0     2.0     1.0     1.0
