# GPD ASCII Format
# 25 Mar 00
# Raw Counts - All Pollen Types
#
# *********************************************************
# ** Please acknowledge the contributors and the African **
# ** Pollen Database when using these data.              **
# *********************************************************
#
# Site name:      Rusaka Swamp
     0.0     0.0     2.0    11.0     0.0     0.0     0.0     0.0     0.0     2.0
     0.0    12.0     1.0     0.0    14.0     0.0     2.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   166.0     0.0     0.0     0.0     0.0     0.0     2.0     2.0     1.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0    11.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     2.0     0.0    34.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     4.0     0.0     0.0     0.0     9.0    31.0     0.0     2.0
     1.0     0.0     1.0     0.0     0.0    27.0    59.0    17.0     0.0
165, , 1467
     0.0     0.0     0.0     0.0     6.0     0.0     3.0     2.0    16.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     3.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     0.0     3.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     1.0     0.0     9.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0    43.0     0.0     1.0     0.0     2.0
     0.0     2.0     0.0    12.0     0.0     1.0     0.0     6.0     8.0     0.0
     3.0     4.0     0.0     0.0     1.0     0.0     0.0     2.0     0.0     0.0
     0.0     6.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     2.0     4.0     0.0     0.0     2.0     0.0     0.0     3.0
