# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
    20.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0    11.0     3.0
     0.0     3.0     0.0    62.0     0.0     0.0     1.0     0.0    13.0     0.0
     0.0     8.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     1.0
     0.0     0.0    19.0     0.0     0.0     3.0     0.0     3.0     0.0     2.0
     0.0     0.0     0.0     2.0     0.0     0.0     7.0     4.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0    22.0     2.0     0.0  1076.0
     3.0
523, , 10421
     0.0     0.0     0.0     0.0     0.0     1.0    10.0    55.0     0.0     0.0
     0.0     0.0     0.0     0.0    10.0     0.0     0.0     0.0     0.0     2.0
     1.0     0.0     3.0    10.0    13.0     7.0    40.0     1.0     0.0     1.0
    28.0     2.0     1.0     0.0     1.0     0.0     0.0     0.0    12.0     5.0
     0.0     4.0     0.0    86.0     0.0     0.0     2.0     0.0     9.0     1.0
     0.0    15.0     1.0     1.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0    26.0     0.0     1.0     4.0     0.0     6.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     2.0     3.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    27.0     2.0     0.0  1231.0
     3.0
525, , 10545
     0.0     0.0     2.0     0.0    10.0     9.0     3.0    29.0     0.0     1.0
     0.0     0.0     0.0     1.0     3.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     3.0    11.0     4.0     6.0    33.0     4.0     0.0     0.0
    22.0     1.0     4.0     0.0     0.0     0.0     0.0     0.0    11.0     6.0
     0.0     7.0     0.0    55.0     0.0     0.0     0.0     0.0    15.0     0.0
     0.0     1.0     1.0     0.0     0.0     3.0     0.0     0.0     0.0     2.0
     0.0     0.0    28.0     0.0     2.0     1.0     0.0     5.0     1.0     1.0
     0.0     0.0     0.0     0.0     0.0     2.0     2.0    10.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    26.0     6.0     0.0  1133.0
     3.0
529, , 10794
     0.0     0.0     0.0     0.0    12.0     4.0     4.0    20.0     0.0     0.0
     0.0     0.0     0.0     2.0     6.0     0.0     0.0     0.0     1.0     2.0
     0.0     2.0     6.0    14.0    10.0     3.0    27.0     0.0     0.0     0.0
    14.0     2.0     0.0     0.0     0.0     2.0     0.0     0.0    20.0     0.0
     0.0     2.0     0.0    81.0     0.0     0.0     1.0     0.0     9.0     0.0
     0.0    15.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0    10.0     0.0     0.0     2.0     0.0     3.0     3.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     2.0     8.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    29.0     5.0     0.0   921.0
     3.0
532, , 10980
     0.0     1.0     0.0     0.0     0.0     0.0    13.0    34.0     0.0     0.0
     0.0     0.0     0.0     1.0     7.0     0.0     0.0     0.0     0.0     1.0
     1.0     0.0     2.0     7.0     6.0     4.0    44.0     0.0     0.0     0.0
    25.0     6.0     0.0     0.0     0.0     1.0     1.0     0.0    13.0     9.0
     0.0     7.0     0.0    87.0     0.0     0.0     0.0     0.0    11.0     1.0
     0.0     2.0     0.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     9.0     0.0     1.0     0.0     0.0     0.0     2.0     1.0
     0.0     0.0     0.0     1.0     0.0    12.0     1.0    17.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    20.0     3.0     0.0   852.0
     3.0
533, , 11043
     1.0     0.0     0.0     0.0     3.0     8.0     1.0    25.0     0.0     0.0
     0.0     0.0     0.0     2.0     4.0     0.0     1.0     0.0     2.0     4.0
     3.0     2.0     5.0     5.0     7.0     1.0    27.0     1.0     0.0     1.0
    16.0     1.0     0.0     0.0     0.0     0.0     2.0     0.0     5.0     4.0
     1.0     7.0     1.0   114.0     0.0     0.0     0.0     0.0    24.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     4.0     0.0     1.0     1.0     0.0     4.0     2.0     5.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0    10.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    28.0     2.0     0.0   831.0
     3.0
534, , 11105
     0.0     0.0     0.0     0.0     0.0     1.0     3.0    52.0     0.0     0.0
     0.0     0.0     0.0     2.0    15.0     0.0     0.0     0.0     0.0     2.0
     1.0     1.0     4.0    10.0    12.0     0.0    24.0     0.0     0.0     1.0
    24.0     1.0     0.0     0.0     1.0     0.0     1.0     0.0    11.0     5.0
     0.0     4.0     2.0    95.0     0.0     0.0     0.0     0.0    16.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     3.0     0.0     1.0     4.0     0.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     4.0     3.0     3.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     9.0     3.0     0.0   674.0
     3.0
535, , 11167
     1.0     0.0     1.0     0.0     4.0     1.0     4.0    57.0     0.0     0.0
     0.0     0.0     0.0     1.0    15.0     0.0     0.0     0.0     0.0     5.0
     2.0     1.0     1.0     8.0    17.0     1.0    26.0     2.0     0.0     3.0
    25.0     2.0     0.0     0.0     0.0     1.0     1.0     0.0    11.0     6.0
     0.0     2.0     1.0   101.0     0.0     0.0     0.0     0.0    22.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     3.0     0.0     1.0     3.0     0.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     2.0     3.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    10.0     2.0     0.0   724.0
     3.0
536, , 11229
     0.0     0.0     0.0     0.0     0.0     1.0     3.0    79.0     0.0     0.0
     0.0     0.0     0.0     1.0    12.0     0.0     0.0     0.0     0.0     4.0
     0.0     1.0     2.0    10.0    22.0     0.0    26.0     0.0     0.0     3.0
    10.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    11.0     0.0
     0.0     6.0     3.0    88.0     0.0     0.0     4.0     0.0    14.0     9.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     3.0     0.0     0.0     1.0     0.0     2.0     2.0     3.0
     0.0     0.0     0.0     0.0     0.0     3.0     3.0     5.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     7.0    15.0     0.0   714.0
     3.0
538, , 11354
     0.0     0.0     0.0     0.0     0.0     0.0     0.0   129.0     0.0     0.0
     0.0     0.0     0.0     0.0    15.0     0.0     0.0     1.0     0.0     2.0
     4.0     3.0     1.0    12.0     8.0     2.0    20.0     1.0     0.0     4.0
    16.0     0.0     0.0     0.0     0.0     2.0     1.0     0.0     0.0     4.0
     0.0     1.0     1.0    71.0     0.0     0.0     0.0     0.0    17.0     1.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     6.0     0.0     0.0     1.0     0.0     2.0     1.0     1.0
     0.0     0.0     0.0     0.0     0.0     7.0     4.0     3.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     4.0     2.0     0.0   769.0
     3.0
540, , 11489
     0.0     0.0     0.0     0.0     0.0     0.0     0.0   135.0     0.0     0.0
     0.0     0.0     0.0     3.0    24.0     0.0     1.0     0.0     3.0    11.0
     0.0     2.0     1.0    12.0     7.0     0.0    15.0     2.0     0.0     4.0
    15.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0    10.0
     0.0     1.0     0.0    60.0     0.0     0.0     0.0     0.0    23.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     3.0     0.0     0.0     0.0     0.0     2.0     0.0     3.0
     0.0     0.0     0.0     0.0     0.0     9.0     1.0     3.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     6.0     2.0     0.0   811.0
     3.0
542, , 11624
     0.0     0.0     0.0     0.0     3.0     1.0     0.0   107.0     0.0     0.0
     0.0     0.0     0.0     4.0    15.0     0.0     1.0     0.0     1.0    18.0
     1.0     5.0     1.0    11.0    14.0     0.0    10.0     4.0     0.0     4.0
    13.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     2.0     6.0
     0.0     1.0     0.0    61.0     0.0     0.0     0.0     0.0    28.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     7.0     0.0     0.0     2.0     0.0     6.0     1.0     2.0
     0.0     0.0     0.0     0.0     0.0     6.0     1.0     7.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     4.0     1.0     0.0   806.0
     3.0
546, , 11894
     0.0     0.0     0.0     0.0     3.0     0.0     0.0   121.0     0.0     1.0
